ID,SEX,PROGRAM,YEAR LEVEL,FIRSTNAME,LASTNAME
2024-1320,Male,BSPHYS,First Year,Oscar Piastri,Piastri
2023-2139,Female,BSN,Second Year,Rebecca,Antonio
2023-2138,Male,BSEE,Second Year,Max,Verstappen
2024-9238,Female,BSEE,First Year,Doriane,Pin
2021-2319,Male,BSCE,Fourth Year,Andrey,Monsanto
2022-0213,Male,BSN,Third Year,Light,Yagami
2023-0032,Male,BSCE,Second Year,Lando,Norris
2023-9759,Male,BSN,Second Year,Amanda,Anderson
2022-0159,Male,BSIT,Third Year,Lando,Davis
2021-1060,Male,BSEE,Fourth Year,Daniel,Gupta
2021-6529,Female,BSMATH,Fourth Year,Linda,Thomas
2022-9253,Male,BSCS,Third Year,Carlos,Thompson
2021-2499,Female,BSCE,Fourth Year,Michelle,Clark
2023-3756,Female,BSMATH,Second Year,Melissa,Jones
2021-7780,Female,BSN,Fourth Year,Maria,Santiago
2024-2697,Male,BSN,First Year,David,Martinez
2024-2972,Female,BSMATH,First Year,Michelle,Sainz
2024-0220,Male,BSN,First Year,David,Robinson
2021-7758,Male,BSCS,Fourth Year,Chris,Kyle
2021-8901,Male,BSPSY,Fourth Year,Arthur,Leclerc
2024-3701,Female,BSARCH,First Year,Emily,Wilson
2023-8645,Male,BSECE,Second Year,Jacob,Hernandez
2022-0857,Female,BSEDENG,Third Year,Olivia,Wright
2021-1523,Male,BSME,Fourth Year,William,Scott
2024-4289,Male,BSIT,First Year,Noah,Lopez
2023-5592,Female,BSA,Second Year,Ava,Perez
2022-6804,Male,BSPHYS,Third Year,Elijah,Mitchell
2021-7111,Female,BAPOLSCI,Fourth Year,Sophia,Morgan
2024-8463,Male,BSCHEM,First Year,Liam,Davis
2023-9095,Female,BSPUBH,Second Year,Isabella,Miller
2022-1278,Male,BAHIS,Third Year,Mason,Gonzalez
2021-2506,Female,,Fourth Year,Charlotte,Young
2024-3444,Male,BSBIO,First Year,James,Hall
2023-4921,Female,BSCE,Second Year,Amelia,Allen
2022-5100,Male,BSN,Third Year,Benjamin,King
2021-6382,Female,BSPSY,Fourth Year,Mia,Turner
2024-7758,Male,BSCS,First Year,Ethan,Adams
2023-8012,Female,BSEDMATH,Second Year,Harper,Parker
2022-9134,Male,BSEE,Third Year,Alexander,Collins
2021-0365,Female,BSMATH,Fourth Year,Evelyn,Stewart
2024-1627,Male,BSARCH,First Year,Michael,Snyder
2023-2890,Female,,Second Year,Abigail,Ramirez
2022-3075,Male,BSECE,Third Year,Daniel,Cook
2021-4258,Female,BSEDENG,Fourth Year,Elizabeth,Flores
2024-5501,Male,BSME,First Year,Joseph,Garcia
2023-6789,Female,BSIT,Second Year,Ella,Sanchez
2022-7962,Male,BSA,Third Year,Samuel,Morris
2021-8240,Female,BSPHYS,Fourth Year,Grace,Rogers
2024-9513,Male,BAPOLSCI,First Year,Henry,Reed
2023-0795,Female,BSCHEM,Second Year,Chloe,Nelson
2022-1928,Male,BSPUBH,Third Year,David,Foster
2021-3101,Female,BAHIS,Fourth Year,Madison,Long
2024-4374,Male,BSBIO,First Year,Jack,Butler
2023-5656,Female,BSCE,Second Year,Zoe,Simmons
2022-6839,Male,BSN,Third Year,Sebastian,Cooper
2021-7001,Female,BSPSY,Fourth Year,Victoria,Bailey
2024-8283,Male,BSCS,First Year,Matthew,Bell
2023-9564,Female,BSEDMATH,Second Year,Avery,Howard
2022-0736,Male,BSEE,Third Year,Wyatt,Wood
2021-1919,Female,BSMATH,Fourth Year,Lily,Perry
2024-2191,Male,BSARCH,First Year,Ryan,Watson
2023-3473,Female,,Second Year,Sofia,Peterson
2022-4655,Male,BSECE,Third Year,Carter,Kelly
2021-5838,Female,BSEDENG,Fourth Year,Penelope,Russell
2024-6009,Male,BSME,First Year,Luke,Evans
2023-7281,Female,BSIT,Second Year,Stella,Sanders
2022-8464,Male,BSA,Third Year,Joshua,Richardson
2021-9646,Female,BSPHYS,Fourth Year,Lucy,Cox
2024-0918,Male,BAPOLSCI,First Year,Julian,Ward
2023-2190,Female,BSCHEM,Second Year,Aurora,Jenkins
2022-3372,Male,BSPUBH,Third Year,Gabriel,Gray
2021-4555,Female,BAHIS,Fourth Year,Skylar,Bennett
2024-5737,Male,BSBIO,First Year,Owen,Hughes
2023-6910,Female,BSCE,Second Year,Grace,Green
2022-8102,Male,BSN,Third Year,Caleb,Diaz
2021-9384,Female,BSPSY,Fourth Year,Nora,Harrison
2024-0556,Male,BSCS,First Year,Isaac,Morales
2023-1838,Female,BSEDMATH,Second Year,Samantha,Sullivan
2022-2021,Male,BSEE,Third Year,Dylan,Fisher
2021-3293,Female,BSMATH,Fourth Year,Hannah,Wright
